1.000000000000000000e+00,2.078000000000000114e+02
2.000000000000000000e+00,1.039000000000000057e+02
3.000000000000000000e+00,6.926666666666666572e+01
4.000000000000000000e+00,5.195000000000000284e+01
5.000000000000000000e+00,4.156000000000000227e+01
6.000000000000000000e+00,3.463333333333333286e+01
7.000000000000000000e+00,2.968571428571428683e+01
8.000000000000000000e+00,2.597500000000000142e+01
9.000000000000000000e+00,2.308888888888888857e+01
1.000000000000000000e+01,2.078000000000000114e+01
1.100000000000000000e+01,1.889090909090909065e+01
1.200000000000000000e+01,1.731666666666666643e+01
1.300000000000000000e+01,1.598461538461538467e+01
1.400000000000000000e+01,1.484285714285714342e+01
1.500000000000000000e+01,1.385333333333333350e+01
1.600000000000000000e+01,1.298750000000000071e+01
1.700000000000000000e+01,1.222352941176470686e+01
1.800000000000000000e+01,1.154444444444444429e+01
1.900000000000000000e+01,1.093684210526315859e+01
2.000000000000000000e+01,1.039000000000000057e+01
2.100000000000000000e+01,9.895238095238095610e+00
2.200000000000000000e+01,9.445454545454545325e+00
2.300000000000000000e+01,9.034782608695651973e+00
2.400000000000000000e+01,8.658333333333333215e+00
2.500000000000000000e+01,8.312000000000001165e+00
2.600000000000000000e+01,7.992307692307692335e+00
2.700000000000000000e+01,7.696296296296297079e+00
2.800000000000000000e+01,7.421428571428571708e+00
2.900000000000000000e+01,7.165517241379310676e+00
3.000000000000000000e+01,6.926666666666666750e+00
3.100000000000000000e+01,6.703225806451613700e+00
